access;mail;accessfordisabled;description;schedulelinkname;accessfordeficient;accessforelder;serviceandactivities;websiteurl;accessforwheelchair;types;address;accessfordeaf;normalizedalias;accessforblind;phone;schedulelinkurl;name;hasurlschedule;friendlyurl;periods;exceptionalschedule;modification_date;point_geo
"{""fr_FR"": ""<ul>\n\t<li>Tram C, D ou E - arrêt Landsberg ou Churchill.</li>\n\t<li>Parking gratuit pour les usagers des Archives. Accès par les rues du Landsberg, du Ballon et Mariano.</li>\n</ul>""}";archives@strasbourg.eu;"{""fr_FR"": ""<p>Bâtiment intégralement accessible aux personnes à mobilité réduite.</p>""}";"{""fr_FR"": ""<p>Les Archives de la Ville et de l’Eurométropole de Strasbourg ont pour mission la collecte, le classement, la conservation, la communication et la valorisation des documents produits par l’Administration dans un but administratif et patrimonial. Les fonds conservés concernent l’ensemble des domaines d’intervention de la Ville, de la Communauté urbaine et maintenant de l’Eurométropole, depuis le Moyen Age jusqu’à nos jours et traitent de la vie des Strasbourgeois.es à travers les siècles.</p>\n\n<p>Les Archives conservent également des fonds d’archives privées qui complètent ceux de l’administration. Ce sont des archives collectées auprès des particuliers, des associations ou des entreprises locales.</p>\n\n<p>Les documents d’archives peuvent être sur parchemin, sur papier, sur verre, sur tissu…, ou complétement dématérialisés (fichiers et données informatiques). C’est le contenu qui fait le document d’archives !</p>\n\n<p>La salle de lecture accueille toute la semaine celles et ceux qui souhaitent consulter les fonds d’archives, quel que soit le motif de leur recherche. La salle de lecture est gratuitement accessible sur simple inscription : l’accès aux documents de l’administration est un droit du citoyen depuis la Révolution Française.</p>\n\n<p>Les Archives proposent également un ensemble d’actions culturelles gratuites, tout au long de l’année : exposition, conférences et colloques, ateliers de découverte des documents d’archives et animations pédagogiques !</p>\n\n<p>En outre, <a href=\""https://archives.strasbourg.eu/\"" target=\""_blank\"" title=\""Le site internet des archives de Strasbourg\"">le site internet des archives</a> permet d’accéder en ligne à de nombreux instruments de recherche, des centaines de milliers de documents numérisés, ainsi qu’aux expositions et dossiers pédagogiques virtuels.</p>\n\n<p> </p>""}";{};0;1;"{""fr_FR"": ""<ul>\n\t<li>Mise à disposition de documents liés à l’Histoire de Strasbourg depuis le Moyen Age jusqu’à nos jours.</li>\n\t<li>Expositions sur l’Histoire de Strasbourg et de la région.</li>\n\t<li>Service éducatif (visites, ateliers).</li>\n\t<li>Conférences, colloques et séminaires.</li>\n</ul>""}";"{""fr_FR"": ""https://archives.strasbourg.eu""}";1;"Archives;Cat_16_25";32 avenue du Rhin 67076 Strasbourg France;0;archives-de-la-ville-et-de-l-eurometropole;0;+33 (0)3 68 98 51 10;{};Archives de la Ville et de l'Eurométropole;0;https://www.strasbourg.eu/lieu/-/entity/id/685733/archives-de-la-ville-et-de-l-eurometropole;;;2025-10-30 08:51:56;48.5724289717129, 7.7632171518673
"{""fr_FR"": ""<p>6 place de la république</p>\n\n<p>Trams : B, C, E, F arrêt République</p>\n\n<p>Bus : 6, 72 et 15A : arrêt République</p>\n\n<p>Vélo : parking devant la BNU</p>""}";quid@bnu.fr;"{""fr_FR"": ""<p>Accessible aux personnes à mobilité réduite.</p>\n\n<p>Loupe et machine à lire sont à la disposition des personnes malvoyantes.</p>\n\n<p>Les chiens-guides sont autorisés dans l'enceinte de la bibliothèque.</p>\n\n<p>Accompagnement personnalisé possible sur RDV.</p>""}";"{""fr_FR"": ""<p>Créée en 1871 après la destruction de la bibliothèque de la Ville de Strasbourg , la construction de l’édifice est menée de 1889 à 1894 par les architectes August Hartel et Skjold Neckelmann. Ils ont également élevé le bâtiment voisin de l’ancienne Diète (actuel théâtre national), ce qui contribue à l’unité architecturale du front oriental de la place construit en style néo-Renaissance. La façade principale du puissant quadrilatère coiffé d’une coupole s’anime d’un avant-corps central dominé par les groupes sculptés de l’Art et de la Science. Sur son fronton triangulaire on reconnaît des figures allégoriques liées à l’imprimerie, à la gravure, à la lithographie et à la photographie. L’ensemble du programme iconographique (sc. Johannes Riegger) met à l’honneur de nombreux érudits allemands et quelques étrangers. Pour adapter la bibliothèque aux normes actuelles, un chantier dit \""BNU Nouvelle\"" a été mené de 2011 à 2014 sous l’égide de l’agence Nicolas Michelin et associés.</p>\n\n<p>La BNU conserve plus de 3 700 000 volumes, couvrant toutes les disciplines des sciences humaines et sociales, du droit, des arts, de la littérature française ou étrangère. Elle est également une bibliothèque de référence au niveau national et européen pour les langues et civilisations germaniques et pour les sciences religieuses. Dépositaire du dépôt légal imprimeur pour l’Alsace, la BNU possède un fonds régional de premier ordre et conserve un riche patrimoine qui couvre l’ensemble de l’histoire du livre et de l’écriture (du papyrus aux documents contemporains). La BNU dispose d’une salle d’exposition, d’un auditorium, d’un espace muséographique et d’un espace patrimoine, dédié à la consultation sur place de documents anciens et précieux, ainsi que de plusieurs salles de lecture (666 places dont 32 places dans les salles de travail en groupes). Une cafétéria, proposant une restauration légère, est accessible à tous.</p>""}";"{""fr_FR"": ""Le site de la BNU""}";0;1;"{""fr_FR"": ""<h3>Services sur place :</h3>\n\n<ul>\n\t<li>Inscriptions-réinscriptions</li>\n\t<li>Renseignements et formations bibliographiques</li>\n\t<li>Accès internet (wifi)</li>\n\t<li>Accès aux ressources électroniques</li>\n\t<li>Consultation de microformes</li>\n\t<li>Photocopies, impressions</li>\n\t<li>Vente des publications de la bibliothèque</li>\n\t<li>Formation aux ressources de la bibliothèque</li>\n\t<li>Expositions et manifestations culturelles</li>\n</ul>\n\n<h3>Services en ligne :</h3>\n\n<ul>\n\t<li>Pré-inscription</li>\n\t<li>Demande de documents des magasins, réservation d’ouvrages, d’appareils microformes et de salles de travail en groupe</li>\n\t<li>Prolongation, consultation des emprunts et des demandes en cours</li>\n\t<li>Suggestion d’achat et demande de traitement d’urgence</li>\n\t<li>Renseignements bibliographiques via quid@bnu.fr et par chat (UBIB)</li>\n\t<li>Alertes par messagerie : avis d’échéance (inscription, emprunts), rappels</li>\n\t<li>Commande des publications de la bibliothèque</li>\n\t<li>Prêt entre bibliothèques (PEB: service payant)</li>\n\t<li>Commande de reproduction numérique de documents de la bibliothèque (service payant)</li>\n\t<li>Demande de quitus</li>\n\t<li>Inscription aux visites du bâtiment et des réserves patrimoniales</li>\n\t<li>Actualités de l’établissement : newsletter.bnu.fr</li>\n\t<li>Affluence en temps réel disponible en ligne ou sur l’application dédiée Affluences</li>\n</ul>""}";"{""fr_FR"": ""https://www.bnu.fr/fr""}";1;Autre bibliothèque;6 place de la République 67070 Strasbourg France;0;bibliotheque-nationale-et-universitaire-bnu-;1;+33(0)3 88 25 28 00;"{""fr_FR"": ""https://www.bnu.fr/fr""}";Bibliothèque nationale et universitaire (BNU);1;https://www.strasbourg.eu/lieu/-/entity/id/685739/bibliotheque-nationale-et-universitaire-bnu-;;;2025-07-11 10:46:36;48.587253641730534, 7.755465382697849
"{""fr_FR"": ""<p><strong>Depuis la Gare </strong></p>\n\n<p>Le Château Musée Vodou est situé à 10 minutes de marche de la Gare SNCF de Strasbourg.</p>\n\n<p><strong>Transport en commun</strong></p>\n\n<ul>\n\t<li>Bus : ligne 10,&nbsp;4 ou 2, arrêt Porte Blanche - Musée Vodou</li>\n\t<li>Tram :&nbsp;ligne F, arrêt Porte Blanche - Musée Vodou</li>\n</ul>\n\n<p>Le musée se situe à 3 min. de marche de l’arrêt de tram et de bus.</p>\n\n<p><strong>En voiture</strong></p>\n\n<ul>\n\t<li>Parking relais tram situé directement à la sortie d’autoroute, à 5 min de marche du musée : \""Parc des Romains\""</li>\n\t<li>Parking vers le centre ville et à 8 min. de marche du musée : \""Centre historique – Petite France\""</li>\n</ul>""}";;"{""fr_FR"": ""<p>Le bâtiment comporte un ascenseur.</p>""}";"{""fr_FR"": ""<p>Le Château Vodou est un musée privé atypique : il présente la plus grande collection d’objets vodou ouest-africains au monde.</p>\n\n<p>Implanté dans un écrin exceptionnel, un château d’eau de 1878, il est géré par une association.</p>\n\n<p>Le Vodou est une religion qui englobe un vaste champ de pratiques, de rituels et de croyances. Il est originaire d’Afrique de l’Ouest et il puise plus précisément ses racines dans l’ancien royaume du Dahomey. Il s’est fixé dans la forme que nous lui connaissons aujourd’hui aux alentours du XVII<sup>e</sup> siècle.</p>\n\n<p>Il encadre les moments clefs de la vie (naissances, unions, morts) mais vise aussi à guérir les maladies. Elle vise à maintenir une harmonie entre le monde visible, terrestre, de la nature, et le monde invisible des divinités et des ancêtres via la divination du Fa, des cérémonies, mais aussi des objets de culte.</p>\n\n<p>Tous les objets présentés ont été utilisés dans des pratiques religieuses. La collection de plus de 1400 objets appartient aux fondateurs du musée : Marc et Marie Luce Arbogast.</p>\n\n<p>Venez à Strasbourg, à la rencontre d’Hébiéso (divinité de la foudre), de Mami Wata (déesse de l’océan), d’Aguin (génie de la brousse) et de toutes les autres figures du panthéon vodou.</p>\n\n<p>Le musée est accessible aux enfants.</p>""}";{};0;0;"{""fr_FR"": ""<p><strong>Musée - exposition permanente : </strong></p>\n\n<p>Visites audio-guidées, individuelles, sans réservation préalable. Audioguides disponibles en français, allemand, espagnol et anglais, compris dans le tarif.</p>\n\n<p><strong>Visites de groupes </strong>avec l’un de nos guides : à partir de 10 personnes et sur réservation.</p>\n\n<p><strong>Visites jeunes publics</strong> : sur réservation.</p>\n\n<p><strong>Programmation culturelle et scientifique</strong> : expositions temporaires, concerts, conférences, visites thématiques, projections de reportages, retrouvez les informations sur le site internet du Château Musée Vodou.</p>""}";"{""fr_FR"": ""http://www.chateau-vodou.com""}";1;Autre musée;4 rue de Koenigshoffen 67000 Strasbourg France;0;chateau-musee-vodou;0;+33 (0)3 88 36 15 03;{};Château Musée Vodou;0;https://www.strasbourg.eu/lieu/-/entity/id/685958/chateau-musee-vodou;;;2024-11-04 17:30:56;48.5803656266929, 7.72864010931229
"{""fr_FR"": ""<p>Tram C - Tram E -&nbsp;Tram F : Arrêt Université (2 min de marche)</p>\n\n<p>Bus 15 -&nbsp;Bus 30 -&nbsp;Bus 72 -&nbsp;Bus L6 : Arrêt Brant Université (4 min de marche)</p>""}";;;"{""fr_FR"": ""<p>Le Musée de minéralogie est installé depuis 1890 dans le bâtiment historique de géologie situé au coeur du campus de l’Université impériale construite sous l’empereur Guillaume II.</p>\n\n<p>La collection de minéralogie de Strasbourg, une des plus anciennes d’Europe, trouve son origine à la fin du 18e siècle. Elle comprend aujourd’hui 30 000 échantillons provenant de toutes les parties du monde avec une forte représentation de minéraux d’Europe centrale.</p>\n\n<p>Contemporaine des grandes découvertes en minéralogie-cristallographie, elle est considérée comme une collection historique de référence.</p>\n\n<p>Le Musée de minéralogie d’aujourd’hui est composé de deux salles principales, aux deux thématiques distinctes : la classification des minéraux pour la première, et les minéraux régionaux pour la seconde.</p>\n\n<p>Hébergé 1 rue Blessig, le Musée de minéralogie de Strasbourg est géré par l’Ecole et Observatoire des sciences de la Terre, en partenariat avec le Jardin des Sciences de l’Université de Strasbourg.</p>""}";"{""fr_FR"": ""Voir le site pour les horaires d'ouverture""}";0;0;;;0;Autre musée;1 rue Blessig 67000 Strasbourg France;0;musee-de-mineralogie;0;;"{""fr_FR"": ""https://musee-mineralogie.unistra.fr/le-musee/en-ce-moment/""}";Musée de minéralogie;1;https://www.strasbourg.eu/lieu/-/entity/id/396336029/musee-de-mineralogie;;;2025-03-13 09:33:20;48.583495690756955, 7.762734029906422
"{""fr_FR"": ""<ul>\n\t<li>Tram B ou C - arrêt Broglie</li>\n\t<li>Tram E - arrêt République</li>\n\t<li>Bus 15a ou 72 - arrêt République</li>\n</ul>""}";tas@theatre-alsacien-strasbourg.eu;;"{""fr_FR"": ""<p>Le Théâtre Alsacien de Strasbourg, fondé en 1904, met en valeur la richesse de l'expression dialectale. Porté par des comédiens amateurs passionnés, c'est un théâtre vivant et populaire, qui cultive l'humour, l'ouverture aux autres et la tolérance.</p>\n\n<p>Sa programmation offre une diversité de genres à travers ses comédies, drames et contes de Noël.</p>\n\n<p>Il est accueilli dans les locaux de l'Opéra National du Rhin.</p>""}";{};0;0;"{""fr_FR"": ""<p>Programmation de spectacles amateurs en alsacien.</p>""}";"{""fr_FR"": ""https://www.theatre-alsacien-strasbourg.fr/""}";0;Cat_16_24;19 place Broglie 67000 Strasbourg France;0;theatre-alsacien-de-strasbourg;0;+33 (0)3 88 36 95 61;{};Théâtre alsacien de Strasbourg;0;https://www.strasbourg.eu/lieu/-/entity/id/685870/theatre-alsacien-de-strasbourg;;;2024-10-14 17:38:04;48.5857458417163, 7.75194904991187
"{""en_US"": ""<ul>\n\t<li>Tram C - Winston Churchill</li>\n\t<li>Car - motorway exit n°4 \""Kehl-place de l'Etoile\"" then avenue du Rhin, direction Kehl; after the tunnel, 3rd traffic light on the left.</li>\n\t<li>Cycling - from the city centre: General Koenig cycle path then from the quai des Alpes to the Danube bridge.</li>\n\t<li>Latitude N 48.573° / Longitude E 7.7716</li>\n</ul>"", ""fr_FR"": ""<ul>\n\t<li>Tram C - arrêt Winston Churchill</li>\n\t<li>Voiture - sortie d'autoroute n°4 \""Kehl-place de l'Etoile\"" puis avenue du Rhin, direction Kehl; après le tunnel, 3e feu à gauche</li>\n\t<li>Vélo - depuis le centre ville&nbsp;: piste cyclable du Général Koenig puis du quai des Alpes jusqu'au Pont du Danube</li>\n\t<li>Latitude N 48.573° / Longitude E 7.7716</li>\n</ul>"", ""de_DE"": ""<ul>\n\t<li>Straßenbahnlinie C - Haltestelle Winston Churchill</li>\n\t<li>Breitengrad N 48.573° / Längengrad E 7.7716</li>\n</ul>""}";;;"{""en_US"": ""<p>Le Vaisseau is part of the Bas-Rhin Departmental Council’s educational facilities. It sets out to introduce science to children and young people aged between 3 and 15 in an entertaining way, by organising group activities, encouraging parents to come along and bring their children and helping teachers make use of pedagogical tools in line with the school curriculum.</p>"", ""fr_FR"": ""<p>Établissement scientifique de la Collectivité européenne d’Alsace, le Vaisseau permet aux enfants et adolescents de 2 à 15 ans de découvrir les sciences et les techniques de manière ludique et interactive.&nbsp;<br />\nLes enfants y trouveront de nombreuses activités libres ou à vivre en groupe, les parents un lieu de partage et de transmission en famille, et les enseignants un lieu ressource offrant des outils adaptés aux programmes scolaires.</p>"", ""de_DE"": ""<p>Das Vaisseau ist eine Bildungseinrichtung des Conseil Général du Bas-Rhin und ermöglicht Kindern von 3 bis 15 Jahren, die Wissenschaft auf spielerische Weise zu entdecken. Kinder können hier gemeinsam mit anderen und der Familie an Aktivitäten teilnehmen. Lehrkräfte können hier ihre Lehrpläne unterhaltsam ergänzen.</p>""}";{};1;1;"{""en_US"": ""<ul>\n\t<li>Permanent Exhibitions</li>\n\t<li>Educational garden</li>\n\t<li>Temporary exhibitions</li>\n\t<li>Activities for families on Wednesdays and weekends</li>\n\t<li>Birthday parties</li>\n</ul>"", ""fr_FR"": ""<ul>\n\t<li>Expositions permanentes,</li>\n\t<li>Expositions temporaires,</li>\n\t<li>Jardin pédagogique,</li>\n\t<li>Programmation culturelle tout au long de l'année (évènements, ateliers, spectacles, stages, ...).</li>\n</ul>"", ""de_DE"": ""<ul>\n\t<li>Dauerausstellungen</li>\n\t<li>Pädagogischer Garten</li>\n\t<li>Temporäre Ausstellungen</li>\n\t<li>Aktivitäten für Familien am Mittwoch und am Wochenende</li>\n\t<li>Geburtstagsverkoster</li>\n</ul>""}";"{""fr_FR"": ""http://www.levaisseau.com""}";1;Cat_16_25;1bis rue Philippe Dollinger 67000 Strasbourg France;1;le-vaisseau;1;+33 (0)3 69 33 26 69;{};"""en_US"": ""Le Vaisseau"", ""fr_FR"": ""Le Vaisseau"", ""de_DE"": ""Museum Le Vaisseau";0;https://www.strasbourg.eu/lieu/-/entity/id/685894/le-vaisseau;;;2026-01-14 11:25:59;48.5727180931458, 7.77172976454007
"{""fr_FR"": ""<p>Tram A : arrêt Parc des Sports. Un chemin piéton est dédié entre la station et le Zénith (10mn environ)</p>\n\n<p><strong>En voiture</strong></p>\n\n<p>Un parking de 3500 places est mis à disposition des visiteurs</p>""}";;"{""fr_FR"": ""<p>Le Zénith est accessible aux personnes à mobilité réduite. N'hésitez pas à faire appel au personnel d'accueil dès votre arrivée, il ne manquera pas de vous accompagner aux ascenceurs d'accès.</p>""}";"{""fr_FR"": ""<h2>Une \""lanterne d'Aladin\"" pour des événements de grande ampleur</h2>\n\n<p>Chaînon manquant dans la large gamme de salles de spectacle existant déjà dans l'agglomération strasbourgeoise, le Zénith de Strasbourg est devenu <strong>une halte incontournable pour les grands spectacles musicaux et les artistes internationaux</strong>. Créé par l'architecte <strong>Massimiliano Fuksas</strong>, inauguré en 2008, il est destiné avant tout aux spectacles de variétés et de musiques actuelles et a accueilli dans ses murs depuis l'ouverture Lady Gaga, Ramstein, Coldplay, Elton John, Mylene Farmer, Johnny Hallyday, le Cirque du Soleil, etc. L'équipement permet également la venue d'autres manifestations comme des conventions et grands événements sportifs (Le Championnat du Monde Fim de X-Trial, etc.).</p>\n\n<p>L’architecte&nbsp;<strong>a privilégié le développement durable, les économies d’énergie et l’emploi de matériaux non nuisibles pour l’environnement</strong>. La structure, composée d’arceaux métalliques et d’une coque en béton, est recouverte d’une toile translucide en fibre de verre, d’une couleur orange : cette toile, qui sert par ailleurs d’écran, capte la lumière du jour et la renvoie la nuit. La silhouette sculpturale de l’édifice se détache ainsi dans le paysage, telle une mystérieuse \""lanterne d’Aladin\"".</p>\n\n<p>Il offre à Strasbourg, à sa région et au grand Est de la France un lieu exceptionnel, dans un environnement paysager remarquable et draine par ailleurs un large public bien au-delà des frontières de l'agglomération strasbourgeoise.</p>\n\n<h2>Le plus grand Zénith de France à Strasbourg</h2>\n\n<p>Le Zénith Strasbourg Europe est le bâtiment de tous les records : c’est le plus grand Zénith de France, d’une capacité de 12 000 spectateurs. Mesurant 110 mètres sur 140, il occupe une surface totale de plus de 6 000m². La structure dispose d’une vaste salle modulable, munie de deux écrans géants. Ce dispositif vient aujourd’hui compléter l’offre culturelle strasbourgeoise et accueille des manifestations ambitieuses : des concerts, mais aussi des événements sportifs ou des conventions. Enfin, comme le souligne sa dénomination, sa vocation est également d’attirer le public allemand des régions voisines.</p>""}";{};0;1;"{""fr_FR"": ""<ul>\n\t<li>Concerts,</li>\n\t<li>spectacles de variétés,</li>\n\t<li>conventions et grands événements sportifs,</li>\n\t<li>soirées privées.</li>\n</ul>""}";"{""fr_FR"": ""http://zenith-strasbourg.fr""}";1;"Cat_17_06;Cat_16_24";1 allée du Zénith 67000 Eckbolsheim France;1;zenith-de-strasbourg;1;+33 (0)3 88 10 50 50;{};Zénith de Strasbourg;0;https://www.strasbourg.eu/lieu/-/entity/id/685854/zenith-de-strasbourg;;;2024-12-23 09:17:15;48.592529, 7.687376
"{""fr_FR"": ""<ul>\n\t<li>Tram B ou E - arrêts Lycée Kléber, Wacken, Parlement européen</li>\n\t<li>Par l'autoroute&nbsp;: sortie Wacken / Institutions Européennes</li>\n</ul>""}";;;"{""fr_FR"": ""<p>Le nouveau Parc des Expositions de Strasbourg, est une réalisation architecturale signée par le célèbre architecte Kengo Kuma. Ouvert depuis le 2 septembre 2022 et situé à deux pas du Palais des Congrès, ce nouveau site événementiel moderne s'étend sur <strong>24 000</strong> m² et se compose de quatre halls spacieux, dont trois (les Halls 2, 3 et 4) sont interconnectés, permettant une circulation fluide et aisée entre les espaces.</p>\n\n<p>Cette configuration favorise une grande adaptabilité, rendant les lieux idéaux pour une variété d'événements, allant des salons professionnels aux soirées gala, en passant par des conférences et des expositions.</p>""}";{};0;0;"{""fr_FR"": ""<ul>\n\t<li>5 halls modulables répartis sur 24 000 m²,</li>\n\t<li>900 places de parking en 2023,</li>\n\t<li>7000m² de parvis extérieur d'exposition,</li>\n\t<li>Une nef de 17m de hauteur ouverte vers l'extérieur</li>\n</ul>""}";"{""fr_FR"": ""https://www.strasbourg-events.com/fr/le-parc-des-expositions""}";0;"Cat_17_06;Cat_16_25";Avenue Herrenschmidt 67000 Strasbourg France;0;parc-des-expositions;0;+33 (0)3 88 37 67 67;{};Parc des expositions;0;https://www.strasbourg.eu/lieu/-/entity/id/505390826/parc-des-expositions;;;2024-12-10 10:34:53;48.596361, 7.754608
"{""fr_FR"": ""<ul>\n\t<li>Tram A ou D - arrêt Langstross Grand'Rue</li>\n</ul>""}";;"{""fr_FR"": ""<p>Accès PMR dans l'intégralité des 7 salles.</p>""}";"{""fr_FR"": ""<p>Ce cinéma installé au coeur de la ville dans un immeuble historique, comprend sept salles qui proposent l’essentiel de la production cinématographique récente en version française ou version originale.<br />\n </p>""}";{};0;0;"{""fr_FR"": ""<p style=\""margin-top: 0.21cm; margin-bottom: 0cm\"">Programmation grand public ainsi que des avant-premières, concerts, opéras, ballets, théâtres, projection de films du monde, des conférences et débats et des programmes adaptés au jeune public.</p>""}";"{""fr_FR"": ""http://www.cine-vox.com""}";1;Cinéma;17 rue des francs bourgeois 67000 Strasbourg France;0;cinema-vox;0;+33 (0)3 88 75 50 21;{};Cinéma Vox;0;https://www.strasbourg.eu/lieu/-/entity/id/685757/cinema-vox;;;2025-10-28 16:00:07;48.5817466320027, 7.74639246042351
"{""fr_FR"": ""<ul><li>Bus ligne 7 - direction Wacken, arrêt Palais de la musique et des congrès</li><li>Tram ligne B - arrêts Lycée Kléber ou Wacken</li><li>Tram ligne E - arrêts Lycée Kléber ou wacken</li></ul>""}";philharmonique.strasbourg@strasbourg.eu;;"{""fr_FR"": ""<p>Depuis sa fondation, en 1855, l’Orchestre philharmonique de Strasbourg a eu à sa tête des directeurs musicaux illustres parmi lesquels on peut citer Hans Pfitzner (1907-1918), Guy Ropartz (1919-1929), Ernest Bour (1950-1963), Alain Lombard (1972-1983), Theodor Guschlbauer (1983-1997), Jan Latham-Koenig (1997-2003), Marc Albrecht (2006-2011) et, en septembre 2012, Marko Letonja.</p><p>De Paul Paray à Eliahu Inbal en passant par Karel Ancerl ou Charles Munch, les chefs invités les plus importants ont donné des concerts avec la phalange strasbourgeoise.</p><p>De nombreux compositeurs ont fait de même : Berlioz, Saint-Saëns, Mahler ou Penderecki, pour n’évoquer qu’eux.</p><p>La renommée internationale de l’OPS tient également à ses nombreuses tournées (du Brésil à l’URSS, via les États-Unis ou le Japon et la plupart des pays d’Europe), à sa participation à des festivals de premier plan (comme Aix-en-Provence ou Musica), et à l’enregistrement d’un large répertoire. En février 2006, par exemple, la formation strasbourgeoise a obtenu la <b>Victoire de la Musique</b> dans la catégorie “enregistrement classique de l'année” pour un CD consacré aux œuvres de Jean-Louis Agobet (né en 1968).</p><p>Orchestre à la fois lyrique, puisqu’il participe à la saison de l’Opéra national du Rhin, et symphonique, l’OPS propose plus de 30 concerts par an dans sa ville et assure conjointement une importante mission de décentralisation.</p><p>En 1994, il s’est vu conférer le titre d’Orchestre national par le ministère de la Culture.</p>""}";{};0;1;"{""fr_FR"": ""<p>Concerts.</p>""}";"{""fr_FR"": ""https://philharmonique.strasbourg.eu/""}";1;Institution culturelle;Place de Bordeaux 67000 Strasbourg France;0;orchestre-philharmonique-de-strasbourg;0;+33 (0)3 68 98 51 31;{};Orchestre philharmonique de Strasbourg;0;https://www.strasbourg.eu/lieu/-/entity/id/685803/orchestre-philharmonique-de-strasbourg;;;2023-05-25 17:58:21;48.5979092919141, 7.75702064808858
